sightingID,city,state,country,durationSec,ufoShape
3111,"corpus christi (maliki beach)",tx,us,300,disk
3112,dallas,tx,us,2700,triangle
3113,sherwood,or,us,15,other
3114,"middle town",ca,us,180,diamond
3115,columbus,oh,us,14400,light
3116,throop,pa,us,14400,oval
3117,moorestown,nj,us,600,oval
3118,raleigh/garner,nc,us,180,triangle
3119,spokane,wa,us,1200,changing
3120,"ottawa (canada)",on,ca,80,circle
3121,newfoundland,pa,us,2700,other
3122,"diamond bar (on the 57)",ca,us,300,changing
3123,"west palm beach",fl,us,180,cylinder
3124,almont,mi,us,1800,oval
3125,glencoe,ok,us,300,other
3127,"plant city",fl,us,300,disk
3128,"stone ridge",ny,us,600,triangle
3129,"stone ridge",ny,us,240,light
3130,taunton,ma,us,10,circle
3131,clayton,ga,us,1200,oval
3132,medford,or,us,25,fireball
3133,"simi valley",ca,us,25,light
3134,tipton,in,us,900,sphere
3135,"wichita/rose hill",ks,us,900,light
3136,odessa,tx,us,300,diamond
3137,"gig harbor",wa,us,60,light
3138,"round rock",tx,us,3600,diamond
3140,"bowling green",ky,us,1200,unknown
3141,lewiston,me,us,1200,formation
3142,corunna,mi,us,60,changing
3143,spokane,wa,us,3,sphere
3144,moorpark,ca,us,600,oval
3145,avon,nc,us,180,chevron
3146,huntsville,al,us,600,triangle
3147,seattle,wa,us,300,sphere
3148,"white river national forest",ar,us,3600,light
3149,boise,id,us,180,light
3150,stevensville,mt,us,60,other
3151,stevensville,mt,us,90,other
3152,temple,tx,us,600,cylinder
3153,spanaway,wa,us,10,unknown
3154,shoreline,wa,us,3,fireball
3155,amity,or,us,5,circle
3156,milwaukee,wi,us,8,sphere
3157,montesano,wa,us,10,fireball
3158,tumwater,wa,us,4,fireball
3159,"portland (40 mi. west of)",or,us,3,circle
3160,kingston,wa,us,3,light
3161,lewistown,il,us,40,other
3162,allegan,mi,us,180,triangle
3163,louisville,ky,us,1800,light
3164,lansing,mi,us,300,unknown
3165,"granite/east st. louis",il,us,300,unknown
3166,easley,sc,us,60,disk
3168,ridgefield,ct,us,120,triangle
3169,westbury,ny,us,60,disk
3170,kenosha,wi,us,18000,light
3171,"west branch",ia,us,600,changing
3173,greenville,nc,us,3000,changing
3174,"cocoa beach",fl,us,30,triangle
3175,terrell,tx,us,180,circle
3176,"revelstoke area (canada)",bc,ca,5,flash
3177,chelsea,mi,us,600,diamond
3178,albany,ny,us,3,unknown
3179,albany,ny,us,5,cigar
3180,curlew,wa,us,60,sphere
3181,truckee,ca,us,25,chevron
3182,altoona,pa,us,300,light
3183,temecula,ca,us,180,circle
3184,"toronto (canada)",on,ca,2,light
3185,"albany (maybe new york)",ny,us,2,cigar
3186,"raton/pueblo (between&#44 enroute)",co,us,37800,light
3187,mercersburg,pa,us,3600,unknown
3189,atlanta,ga,us,2,fireball
3190,austin,tx,us,300,teardrop
3191,oklahoma,ok,us,45,cylinder
3192,memphis,tn,us,900,circle
3193,chicago,il,us,60,disk
3194,"ft. campbell",ky,us,1,fireball
3195,sebastopol,ca,us,5400,sphere
3196,swannanoa,nc,us,4,fireball
3197,jacksonville,fl,us,4,fireball
3198,beckley,wv,us,10,circle
3199,beckley,wv,us,5,rectangle
3200,clayton,nc,us,15,fireball
3201,hampton,fl,us,15,sphere
3202,jacksonville,fl,us,5,fireball
3203,macon,ga,us,20,fireball
3204,martinez,ga,us,4,fireball
3205,shippensburg,pa,us,420,circle
3206,vanceboro,nc,us,15,fireball
3207,greensboro,nc,us,15,fireball
3208,"indian trail",nc,us,2,unknown
3209,prophetstown,il,us,900,other
3210,"pollock pines",ca,us,40,light
3211,cullowhee,nc,us,3,fireball
3213,kannapolis,nc,us,60,light
3214,harrodsburg,ky,us,1800,light
3215,"markham (canada)",on,ca,120,light
3216,"mount morris",mi,us,2,oval
3218,flint,mi,us,30,sphere
3219,vienna,va,us,600,sphere
3220,"new rochelle",ny,us,35,disk
3221,"toronto (canada)",on,ca,30,triangle
3222,salters,sc,us,40,light
3223,"charleston afb",sc,us,300,triangle
3224,"van buren",ar,us,120,disk
3225,denver,co,us,10,triangle
3226,phoenix,az,us,4500,light
3227,"timmins (canada)",on,ca,300,light
3228,pinckney,mi,us,300,light
3229,wellston,mi,us,2,circle
3230,"chateauguay (canada)",qc,ca,20,changing
3231,rockport,wv,us,30,fireball
3232,austin,tx,us,30,triangle
3233,quincy,ma,us,10,fireball
3234,denver,co,us,60,cigar
3235,lancaster,ca,us,3600,sphere
3236,nixa,mo,us,180,disk
3237,surprise,az,us,7200,light
3238,montville,oh,us,2400,cone
3239,springfield,mo,us,5,unknown
3240,gainesville,fl,us,60,triangle
3242,"north myrtle beach",sc,us,15,disk
3243,brandon,fl,us,4,light
3244,pueblo,co,us,2700,unknown
3245,moline,il,us,120,triangle
3246,geneva,il,us,900,other
3247,"franklin falls",ny,us,5,other
3248,"victoria (canada)",bc,ca,7200,sphere
3249,"foster city",ca,us,30,light
3250,providence,ri,us,60,egg
3251,birmingham,al,us,120,sphere
3252,"north georgia",ga,us,5,sphere
3253,prospect,or,us,2,cigar
3254,"east patchogue",ny,us,180,sphere
3255,evanston,il,us,30,cigar
3256,bellevue,wa,us,120,chevron
3257,hanover,md,us,240,light
3258,"east patchogue",ny,us,360,sphere
3259,nicholson,ga,us,300,unknown
3260,winfield,ks,us,900,unknown
3261,opal,wy,us,1500,unknown
3262,peoria,il,us,10,chevron
3263,fracisville,la,us,300,unknown
3264,"point mugu",ca,us,10,sphere
3265,"rock creek lake",ca,us,2400,light
3266,buckhead,ga,us,600,light
3267,sacramento,ca,us,15,cigar
3268,"houston (near; in flight sighting)",tx,us,50,other
3269,hayward,ca,us,180,light
3270,"rock falls",wi,us,900,light
3271,"crown hill",wv,us,420,triangle
3272,cincinnati,oh,us,300,disk
3273,"sioux lookout (canada)",on,ca,3,light
3274,ellinwood,ks,us,600,disk
3275,glencoe,mn,us,2,light
3276,"grand rapids",mi,us,60,circle
3277,pittsfield,il,us,120,triangle
3278,columbia,mo,us,120,triangle
3279,"highland county - monterey",va,us,90,light
3280,haslett,mi,us,1200,light
3281,"las vegas",nv,us,10,sphere
3282,monroe,la,us,3600,formation
3284,gary,in,us,15,unknown
3285,harrisburg,pa,us,600,formation
3286,"west monroe",la,us,120,light
3287,jacksonville,nc,us,300,unknown
3288,greenfield,oh,us,900,unknown
3289,encino,ca,us,600,other
3290,"los angeles",ca,us,60,formation
3291,reedville,va,us,600,circle
3292,tampa,fl,us,15,oval
3293,"virginia beach",va,us,15,triangle
3294,hayward,ca,us,1,sphere
3296,radcliff,ky,us,900,other
3297,burnsville,nc,us,147,changing
3298,cincinnati,oh,us,5,circle
3299,duluth,ga,us,1200,sphere
3300,"falls village",ct,us,60,cigar
3301,"falls village",ct,us,10800,triangle
3302,"st. louis",mo,us,8,light
3303,cincinnati,oh,us,10,light
3304,fayetteville,ga,us,10,light
3305,brookings,or,us,300,formation
3306,ottumwa,ia,us,300,light
3307,roseburg,or,us,180,rectangle
3308,pearland,tx,us,7200,sphere
3309,southfield,mi,us,780,light
3310,"golden valley",az,us,45,unknown
3311,hazard,ky,us,5,light
3312,mesa,az,us,2,other
3314,boise,id,us,300,fireball
3315,spokane,wa,us,120,oval
3316,plymouth,pa,us,20,light
3317,williamsport,pa,us,5,light
3318,hillsborough,nc,us,60,other
3319,wilmington,de,us,30,disk
3320,billings,mt,us,900,light
3321,dale,in,us,600,triangle
3322,brandon,ms,us,90,triangle
3323,"daniels park",co,us,900,disk
3324,katy,tx,us,900,disk
3325,seguin,tx,us,1,other
3326,boston,ma,us,1200,light
3327,jamaica,ny,us,10,flash
3328,allentown,pa,us,1200,rectangle
3329,"dania beach",fl,us,60,oval
3330,"mays landing",nj,us,20,other
3332,mansfield,ma,us,1,flash
3333,nacogdoches,tx,us,120,light
3334,"st. augustine",fl,us,300,circle
3335,"virgnia beach",va,us,300,triangle
3336,"penn valley",ca,us,9000,triangle
3337,clermont,fl,us,3600,light
3338,foxboro,ma,us,7,light
3339,"st. petersburg causeway",fl,us,4,other
3340,muscatine,ia,us,180,light
3341,"orange beach",al,us,240,circle
3342,sunrise,fl,us,3600,disk
3343,"cove city",nc,us,30,oval
3344,trumbull,ct,us,3,fireball
3345,"williams lake (canada)",bc,ca,1800,triangle
3346,plano,tx,us,30,triangle
3347,"apple valley",ca,us,7200,circle
3348,"virginia beach",va,us,90,unknown
3349,hermiston,or,us,600,cylinder
3350,hermiston,or,us,600,fireball
3351,princeton,mn,us,1860,circle
3352,"brecksville (near)",oh,us,120,light
3353,"new york city (brooklyn)",ny,us,10,sphere
3355,"cranberry twp.",pa,us,600,light
3356,"ft. meade",md,us,900,formation
3357,hampton,nh,us,180,fireball
3358,jackson,wi,us,300,light
3359,severn,md,us,300,circle
3360,delhi,ny,us,600,light
3361,"el paso",tx,us,120,fireball
3362,"ottawa (canada)",on,ca,900,oval
3363,bunn,nc,us,300,fireball
3364,"eau claire",wi,us,300,fireball
3365,kingsport,tn,us,300,light
3366,"sierra vista",az,us,10,triangle
3367,gilbert,az,us,600,light
3368,jackson,wi,us,600,fireball
3369,gilbert,az,us,240,light
3370,"bethany beach",de,us,900,sphere
3371,"south jordan",ut,us,120,circle
3372,cumberland,md,us,1800,light
3373,glendale,az,us,300,light
3374,scottsdale,az,us,600,unknown
3375,lexington,sc,us,300,light
3376,anchorage,ak,us,1200,light
3377,snohomish,wa,us,300,unknown
3378,toledo,oh,us,600,light
3379,salem,nh,us,10,cigar
3380,"manitou springs",co,us,60,circle
3381,naples,fl,us,2700,unknown
3382,levittown,pa,us,720,light
3384,spokane,wa,us,30,flash
3385,germantown,ny,us,900,light
3386,philadelphia,pa,us,3600,sphere
3387,woonsocket,ri,us,300,triangle
3388,levittown,pa,us,480,light
3389,manassas,va,us,3600,triangle
3391,stockton,ca,us,960,light
3392,"goose air base (labrador) (canada)",nf,ca,240,sphere
3393,"santa fe",nm,us,300,disk
3394,federalsburg,md,us,300,disk
3395,baltimore,md,us,900,disk
3396,baltimore,md,us,480,disk
3397,"indian rocks beach",fl,us,10,light
3398,"st. george (ut) to las vegas (nv)",ut,us,1800,light
3399,orem,ut,us,120,triangle
3402,holmes/pawling,ny,us,1200,formation
3403,franklinton,nc,us,10,circle
3404,rochester,ny,us,600,disk
3405,utica,ny,us,2100,disk
3406,norristown,pa,us,1200,circle
3407,bluff,ut,us,60,light
3408,campbell,ca,us,600,other
3409,columbia,tn,us,6,formation
3410,"lakeville (south of twin cities about 15 miles)",mn,us,73800,light
3411,"kansas city",mo,us,1200,cylinder
3412,tehachapi,ca,us,900,chevron
3413,lancaster,pa,us,900,light
3414,maryville/sevierville,tn,us,60,cylinder
3415,auburn,wa,us,2,light
3416,"tigard (12 mi so of portland&#44 exit 290 i 5)",or,us,7200,light
3417,"waterloo (canada)",on,ca,10,other
3418,alma,wi,us,15,oval
3419,"west manchester",oh,us,5,cylinder
3420,"rocky hill",ct,us,600,chevron
3421,saginaw,mi,us,7,cone
3422,fayetteville,ar,us,2,cross
3423,modesto,ca,us,45,formation
3424,"callahan county (cross plains in rural area)",tx,us,15,light
3425,murfreesboro,tn,us,1800,oval
3426,durham,nc,us,120,fireball
3427,mound,mn,us,60,other
3428,pittsburgh,pa,us,60,diamond
3429,downey,ca,us,360,oval
3430,"whycocomagh (canada)",ns,ca,300,oval
3431,avon,ny,us,2,fireball
3432,centerburg,oh,us,180,light
3433,burbank,ca,us,1200,oval
3434,aurora,co,us,5,flash
3435,albany,ny,us,8,other
3436,malone,ny,us,900,light
3438,vacaville,ca,us,120,rectangle
3439,"yukon territory (rural) (canada)",yt,ca,1800,triangle
3440,austin,tx,us,300,oval
3441,bellflower,ca,us,600,fireball
3442,waterford,ny,us,30,triangle
3443,fresno,ca,us,30,other
3444,"grand blanc",mi,us,180,triangle
3445,scandia,mn,us,900,light
3446,olathe,ks,us,300,light
3447,racine,wi,us,1800,sphere
3448,chillicothe,oh,us,3,fireball
3449,bellmore,ny,us,3,oval
3450,"rancho santa fe",ca,us,3,light
3451,cocoa,fl,us,4,fireball
3452,"st. catharines (canada)",on,ca,60,triangle
3453,portland,or,us,120,light
3454,portland,or,us,60,light
3455,honolulu,hi,us,120,other
3458,"san antonio",tx,us,30,triangle
3460,"kansas city",ks,us,60,rectangle
3462,equinunk,pa,us,600,other
3463,heflin,al,us,1800,sphere
3464,canyonville,or,us,4,unknown
3465,"north kingstown",ri,us,4,circle
3466,anahola,hi,us,10800,disk
3467,seattle,wa,us,30,triangle
3468,hamilton,mt,us,4,diamond
3469,reno,nv,us,6,unknown
3470,brookings,or,us,120,unknown
3471,aloha,or,us,60,light
3472,"st-bruno (canada)",qc,ca,30,unknown
3473,tucson,az,us,240,unknown
3474,southbloomingvill,oh,us,1200,unknown
3476,"spring lake park",mn,us,7,chevron
3477,maysville,ky,us,2631600,light
3478,mooresville,nc,us,8,unknown
3479,"rochester hills",mi,us,10800,light
3480,holden,la,us,1800,diamond
3482,"eau claire",wi,us,10,formation
3483,"elk grove",ca,us,480,sphere
3484,dawsonville,ga,us,900,other
3485,"south amboy",nj,us,360,sphere
3486,kingsport,tn,us,240,circle
3487,"stoney creek metropark ?",mi,us,3600,other
3488,castile,ny,us,300,teardrop
3489,bucksport,me,us,20,sphere
3490,chicago,il,us,10,light
3491,"hagerstown (near)",md,us,5,flash
3492,morganton,ga,us,3600,oval
3493,"myrtle creek",or,us,30,light
3494,brookings,or,us,900,sphere
3495,fayetteville,nc,us,6,disk
3496,"mt. airy",md,us,2,light
3497,fairfield,tx,us,1500,formation
3498,arbuckle,ca,us,5,light
3499,abilene,tx,us,180,changing
3500,"redondo beach",ca,us,5,formation
3501,starke,fl,us,45,sphere
3502,tucson,az,us,900,light
3503,cookeville,tn,us,900,changing
3504,englewood,fl,us,60,cigar
3505,"canyon country",ca,us,1800,light
3506,henderson,nv,us,10,unknown
3507,thomson,ga,us,10,disk
3508,"cape coral",fl,us,120,light
3509,hardy,va,us,2700,light
3510,"fort myers",fl,us,30,light
3511,boston,ma,us,60,light
3512,otis,or,us,1800,light
3513,charleston,sc,us,60,triangle
3514,"san jose",ca,us,180,disk
3515,northridge,ca,us,10,triangle
3516,seattle,wa,us,120,unknown
3517,alsip,il,us,900,circle
3518,granton,wi,us,180,light
3519,burnsville,nc,us,900,light
3520,burnsville,nc,us,900,light
3521,louisville,ky,us,7,changing
